"Наименование и группы","январь","февраль","март","апрель","май","июнь","июль","август","сентябрь","октябрь","ноябрь","декабрь","Общее","Тип программы"
"ПТЭ метрополитенов (8ч.) ПТЭС-91","","","","","","","","","","","8","","0","Дополнительные профессиональные программы (инструктажи, консультации, стажировки)"
"ПТЭ метрополитенов (8ч.) ПТЭС-92","","","","","","","","","","","","8","0","Дополнительные профессиональные программы (инструктажи, консультации, стажировки)"
"ПТЭ метрополитенов (4ч.) ПТЭР-65","4","","","","","","","","","","","","4","Дополнительные профессиональные программы (инструктажи, консультации, стажировки)"
"ПТЭ метрополитенов (4ч.) ПТЭР-66","","4","","","","","","","","","","","0","Дополнительные профессиональные программы (инструктажи, консультации, стажировки)"
"ПТЭ метрополитенов (4ч.) ПТЭР-67","","4","","","","","","","","","","","0","Дополнительные профессиональные программы (инструктажи, консультации, стажировки)"
"ПТЭ метрополитенов (4ч.) ПТЭР-68","","","4","","","","","","","","","","0","Дополнительные профессиональные программы (инструктажи, консультации, стажировки)"
"ПТЭ метрополитенов (4ч.) ПТЭР-69","","","","4","","","","","","","","","0","Дополнительные профессиональные программы (инструктажи, консультации, стажировки)"
"ПТЭ метрополитенов (4ч.) ПТЭР-70","","","","4","","","","","","","","","0","Дополнительные профессиональные программы (инструктажи, консультации, стажировки)"
"ПТЭ метрополитенов (4ч.) ПТЭР-71","","","","","4","","","","","","","","0","Дополнительные профессиональные программы (инструктажи, консультации, стажировки)"
"ПТЭ метрополитенов (4ч.) ПТЭР-72","","","","","","4","","","","","","","0","Дополнительные профессиональные программы (инструктажи, консультации, стажировки)"
"ПТЭ метрополитенов (4ч.) ПТЭР-73","","","","","","","4","","","","","","0","Дополнительные профессиональные программы (инструктажи, консультации, стажировки)"
"ПТЭ метрополитенов (4ч.) ПТЭР-74","","","","","","","","4","","","","","0","Дополнительные профессиональные программы (инструктажи, консультации, стажировки)"
"ПТЭ метрополитенов (4ч.) ПТЭР-75","","","","","","","","","4","","","","0","Дополнительные профессиональные программы (инструктажи, консультации, стажировки)"
"ПТЭ метрополитенов (4ч.) ПТЭР-76","","","","","","","","","4","","","","0","Дополнительные профессиональные программы (инструктажи, консультации, стажировки)"
"ПТЭ метрополитенов (4ч.) ПТЭР-77","","","","","","","","","","4","","","0","Дополнительные профессиональные программы (инструктажи, консультации, стажировки)"
"ПТЭ метрополитенов (4ч.) ПТЭР-78","","","","","","","","","","","4","","0","Дополнительные профессиональные программы (инструктажи, консультации, стажировки)"
"ПТЭ метрополитенов (4ч.) ПТЭР-79","","","","","","","","","","","4","","0","Дополнительные профессиональные программы (инструктажи, консультации, стажировки)"
"ПТЭ метрополитенов (4ч.) ПТЭР-80","","","","","","","","","","","","4","0","Дополнительные профессиональные программы (инструктажи, консультации, стажировки)"
"Итого по разделу","125","225","214","253","146","103","51","75","169","205","262","170","125","Дополнительные профессиональные программы (инструктажи, консультации, стажировки)"
"ВСЕГО:","437","1053","1482","801","472","925","863","1099","1077","1263","1412","964","437","ВСЕГО"
